NOMBRE_BARRIO,CANTIDAD
TINTALA,27462
SANTA BARBARA CENTRAL,20466
LOS CEDROS,19930
SANTA BARBARA OCCIDENTAL,19277
CAOBOS SALAZAR,19258
LAS MARGARITAS,18275
MAZUREN,18058
EL PLAN,17472
CHICO NORTE,16922
BRITALIA,16535
EL TINTAL CENTRAL,16095
CIUDAD TECHO II,15858
CEDRITOS,15696
CIUDAD HAYUELOS,15505
CANTAGALLO,14519
CIUDAD SALITRE SUR-ORIENTAL,14457
TIBABUYES,14426
LA CALLEJA,14180
ACACIAS USAQUEN,14038
MIRANDELA,13747
SANTA ROSA,13437
SAN PATRICIO,13112
GALAN,12886
MONACO,12881
PORTALES DEL NORTE,12705
EL CHICO,12600
SANTA BIBIANA,12563
BATAN,12301
FERROCAJA FONTIBON,12256
LA ESPERANZA NORTE,12070
EL CORTIJO,12032
CHICO NORTE II SECTOR,11704
SAN JOSE DEL PRADO,11334
HIPOTECHO OCCIDENTAL,11119
CHICO NORTE III SECTOR,10988
SALITRE OCCIDENTAL,10919
NUEVO TECHO,10885
EL ENSUENO,10803
MOLINOS NORTE,10697
SAN ANTONIO NOROCCIDENTAL,10597
GILMAR,10568
LISBOA,10500
OSORIO III,10404
IBERIA,10267
